id,mu,lambda,mut_prob,cx_prob,HV
3011,726,2050,0.2031736597418785,0.7968263402581215,3.3623
3012,883,1604,0.2031736597418785,0.7968263402581215,3.1892
3013,883,2494,0.6975686801597476,0.3024313198402524,3.9031
3014,726,1318,0.6975686801597476,0.3024313198402524,3.6432
3015,57,104,0.8197616804391146,0.18023831956088543,2.8888
3016,224,409,0.8197616804391146,0.18023831956088543,3.2614
3017,57,169,0.8197616804391146,0.18023831956088543,3.0316
3018,57,104,0.10560991428792477,0.8943900857120752,1.9513
3019,224,665,0.10560991428792477,0.8943900857120752,3.0198
3020,213,572,0.5182106699794531,0.4817893300205469,3.2023
3021,145,389,0.5182106699794531,0.4817893300205469,3.2099
3022,213,555,0.5182106699794531,0.4817893300205469,3.2143
3023,213,572,0.4664016105234623,0.5335983894765377,3.3659
3024,145,377,0.4664016105234623,0.5335983894765377,3.229
3025,812,1347,0.3806402049958706,0.6193597950041294,3.4387
3026,527,874,0.3806402049958706,0.6193597950041294,3.7858
3027,812,1379,0.3806402049958706,0.6193597950041294,3.3052
3028,812,1347,0.8710406208410859,0.1289593791589141,3.2956
3029,527,895,0.8710406208410859,0.1289593791589141,3.2591
3030,736,1665,0.9884001454338431,0.011599854566156864,3.8018
3031,508,1149,0.9884001454338431,0.011599854566156864,3.2838
3032,736,978,0.9884001454338431,0.011599854566156864,3.006
3033,736,1665,0.6093126954510808,0.3906873045489192,3.3921
3034,508,675,0.6093126954510808,0.3906873045489192,3.6176
3035,378,478,0.09715438354760408,0.9028456164523959,2.7972
3036,891,1129,0.09715438354760408,0.9028456164523959,2.9415
3037,378,941,0.09715438354760408,0.9028456164523959,3.2335
3038,378,478,0.19679966568946838,0.8032003343105316,2.884
3039,891,2219,0.19679966568946838,0.8032003343105316,3.5096
3040,396,1084,0.4846151163801551,0.5153848836198449,3.8007
3041,666,1823,0.4846151163801551,0.5153848836198449,3.6734
3042,396,619,0.4846151163801551,0.5153848836198449,3.2706
3043,396,1084,0.11121868994086981,0.8887813100591302,3.335
3044,666,1041,0.11121868994086981,0.8887813100591302,3.2488
3045,747,1294,0.6009432571008801,0.39905674289911985,3.6866
3046,283,490,0.6009432571008801,0.39905674289911985,3.1931
3047,747,2034,0.6009432571008801,0.39905674289911985,3.4072
3048,747,1294,0.710484491661191,0.289515508338809,3.5953
3049,283,770,0.710484491661191,0.289515508338809,3.3255
3050,793,1835,0.021988069638609886,0.9780119303613901,2.8607
3051,777,1798,0.021988069638609886,0.9780119303613901,3.1575
3052,793,1882,0.021988069638609886,0.9780119303613901,3.5418
3053,793,1835,0.9409962799400091,0.05900372005999088,3.9488
3054,777,1844,0.9409962799400091,0.05900372005999088,3.7593
3055,202,270,0.8768589608371258,0.12314103916287422,2.9176
3056,395,529,0.8768589608371258,0.12314103916287422,3.1251
3057,202,295,0.8768589608371258,0.12314103916287422,2.9842
3058,202,270,0.34960543643683195,0.650394563563168,2.8975
3059,395,577,0.34960543643683195,0.650394563563168,3.2293
3060,67,145,0.7072033062577248,0.29279669374227524,2.8663
3061,449,976,0.7072033062577248,0.29279669374227524,3.8962
3062,67,72,0.7072033062577248,0.29279669374227524,2.2532
3063,67,145,0.20728904847055674,0.7927109515294433,2.9306
3064,449,487,0.20728904847055674,0.7927109515294433,3.0395
3065,901,1054,0.3157281894236803,0.6842718105763197,3.2821
3066,950,1112,0.3157281894236803,0.6842718105763197,3.2519
3067,901,2013,0.3157281894236803,0.6842718105763197,3.6432
3068,901,1054,0.6114879287779331,0.3885120712220669,3.2443
3069,950,2123,0.6114879287779331,0.3885120712220669,3.5283
3070,591,1625,0.7994074979797006,0.20059250202029943,3.3449
3071,86,236,0.7994074979797006,0.20059250202029943,2.9404
3072,591,1686,0.7994074979797006,0.20059250202029943,3.6821
3073,591,1625,0.8498091101646423,0.15019088983535767,3.5511
3074,86,245,0.8498091101646423,0.15019088983535767,3.1638
3075,467,830,0.16206639539450407,0.8379336046054959,3.3314
3076,586,1041,0.16206639539450407,0.8379336046054959,3.4132
3077,467,911,0.16206639539450407,0.8379336046054959,3.2371
3078,467,830,0.43785924930125475,0.5621407506987453,3.4282
3079,586,1143,0.43785924930125475,0.5621407506987453,3.7645
3080,456,1087,0.8542124452069402,0.14578755479305983,3.8665
3081,899,2144,0.8542124452069402,0.14578755479305983,3.9317
3082,456,1151,0.8542124452069402,0.14578755479305983,3.8319
3083,456,1087,0.3060889495536685,0.6939110504463315,3.2795
3084,899,2270,0.3060889495536685,0.6939110504463315,3.7252
3085,572,799,0.24788642581552267,0.7521135741844773,3.1934
3086,516,721,0.24788642581552267,0.7521135741844773,3.1647
3087,572,964,0.24788642581552267,0.7521135741844773,3.3447
3088,572,799,0.9052927698940039,0.09470723010599613,3.2782
3089,516,869,0.9052927698940039,0.09470723010599613,3.2877
3090,972,2483,0.6367657370865345,0.3632342629134655,4.0451
3091,550,1405,0.6367657370865345,0.3632342629134655,3.818
3092,972,1252,0.6367657370865345,0.3632342629134655,3.3354
3093,972,2483,0.6358362603932619,0.3641637396067381,3.7206
3094,550,708,0.6358362603932619,0.3641637396067381,3.2297
3095,145,222,0.27679079584777355,0.7232092041522264,2.8843
3096,168,257,0.27679079584777355,0.7232092041522264,3.0862
3097,145,344,0.27679079584777355,0.7232092041522264,3.0801
3098,145,222,0.044383435510098934,0.9556165644899011,2.2629
3099,168,399,0.044383435510098934,0.9556165644899011,2.8244
3100,243,716,0.07680227793753147,0.9231977220624685,2.9169
3101,203,598,0.07680227793753147,0.9231977220624685,2.9145
3102,243,489,0.07680227793753147,0.9231977220624685,2.892
3103,243,716,0.4031361760571599,0.5968638239428401,3.4161
3104,203,409,0.4031361760571599,0.5968638239428401,3.4674
3105,841,1648,0.962669774889946,0.037330225110054016,3.5696
3106,704,1379,0.962669774889946,0.037330225110054016,3.7712
