,mu,lambda,prob,HV
396,980.053711,2.90600586,0.189941406,0.2893690631029065
397,133.03222656,1.99047852,0.18994141,0.0490667193961437
398,133.03222656,2.90600586,0.60205078,0.1056332063111866
399,980.053711,1.99047852,0.602050781,0.2465645897659704
400,162.71972656,1.73413086,0.84619141,0.1312798847784651
401,59.74121094,1.73413086,0.84619141,0.0588770565709632
402,162.71972656,1.44360352,0.84619141,0.1287813680791636
403,162.71972656,1.73413086,0.32080078,0.0654092410417913
404,59.74121094,1.44360352,0.32080078,0.0291620664057706
405,637.719727,2.98413086,0.346191406,0.4394493551824159
406,534.741211,2.98413086,0.346191406,0.4067255003298438
407,637.719727,2.69360352,0.346191406,0.2359941097341747
408,637.71972656,2.98413086,0.82080078,0.2959331121698705
409,534.74121094,2.69360352,0.82080078,0.1468595952822681
410,875.219727,1.10913086,0.596191406,0.2122610629307827
411,297.24121094,1.10913086,0.59619141,0.1903432259451141
412,875.219727,2.06860352,0.596191406,0.2815045477376452
413,875.219727,1.10913086,0.570800781,0.1749158588945237
414,297.24121094,2.06860352,0.57080078,0.2449238894405791
415,400.219727,2.35913086,0.0961914062,0.0800296091696005
416,772.241211,2.35913086,0.0961914062,0.2893514745188553
417,400.219727,0.818603516,0.0961914062,0.0637330699559157
418,400.219727,2.35913086,0.0708007812,0.1280406845587712
419,772.241211,0.818603516,0.0708007812,0.1373477913892212
420,518.969727,0.796630859,0.471191406,0.1796319777228726
421,890.991211,0.796630859,0.471191406,0.1770842135683484
423,518.969727,0.796630859,0.445800781,0.0927861985126496
425,993.969727,2.04663086,0.971191406,0.3022628494688575
426,415.99121094,2.04663086,0.97119141,0.1188639133810394
427,993.969727,1.75610352,0.971191406,0.3838340194742344
428,993.969727,2.04663086,0.945800781,0.2191926785958152
429,415.99121094,1.75610352,0.94580078,0.28883111728834
430,756.469727,1.42163086,0.221191406,0.195960922338097
431,653.491211,1.42163086,0.221191406,0.1113729765837316
432,756.469727,2.38110352,0.221191406,0.2907186615788848
433,756.469727,1.42163086,0.695800781,0.3114029146781974
434,653.49121094,2.38110352,0.69580078,0.2739193504188658
435,281.46972656,2.67163086,0.72119141,0.2995225825610325
436,178.49121094,2.67163086,0.72119141,0.1065464159047135
437,281.46972656,1.13110352,0.72119141,0.3218159690967132
