index,pf_size,geno_size,canon_size,red_dup,red_sim,red_total
85,601,370,148,0.3843594009983361,0.6,0.7537437603993344
86,852,667,210,0.21713615023474175,0.6851574212893553,0.7535211267605634
87,377,280,133,0.2572944297082228,0.525,0.6472148541114058
88,126,115,95,0.08730158730158732,0.17391304347826086,0.24603174603174605
89,377,298,147,0.20954907161803715,0.5067114093959731,0.6100795755968169
90,377,286,170,0.24137931034482762,0.4055944055944056,0.5490716180371353
91,126,104,84,0.17460317460317465,0.1923076923076923,0.33333333333333337
92,496,363,168,0.2681451612903226,0.5371900826446281,0.6612903225806452
93,245,186,117,0.24081632653061225,0.3709677419354839,0.5224489795918368
94,496,365,152,0.2641129032258065,0.5835616438356164,0.6935483870967742
95,496,278,129,0.4395161290322581,0.5359712230215827,0.7399193548387097
96,245,151,101,0.38367346938775515,0.33112582781456956,0.5877551020408163
97,971,645,230,0.33573635427394444,0.6434108527131783,0.7631307929969104
98,720,468,227,0.35,0.5149572649572649,0.6847222222222222
99,971,447,125,0.5396498455200824,0.7203579418344519,0.8712667353244078
100,971,643,253,0.3377960865087538,0.6065318818040435,0.7394438722966015
101,720,540,216,0.25,0.6,0.7
102,734,594,187,0.19073569482288832,0.6851851851851851,0.7452316076294279
103,482,398,148,0.17427385892116187,0.6281407035175879,0.6929460580912863
104,734,614,211,0.1634877384196185,0.6563517915309447,0.7125340599455041
105,734,596,183,0.1880108991825613,0.6929530201342282,0.7506811989100818
106,482,349,131,0.27593360995850624,0.6246418338108882,0.7282157676348548
107,259,197,116,0.23938223938223935,0.41116751269035534,0.5521235521235521
108,957,558,177,0.41692789968652033,0.6827956989247312,0.8150470219435737
109,259,183,120,0.2934362934362934,0.34426229508196726,0.5366795366795367
110,259,192,131,0.2586872586872587,0.31770833333333337,0.4942084942084942
111,957,577,183,0.39707419017763845,0.682842287694974,0.8087774294670846
112,199,176,83,0.11557788944723613,0.5284090909090908,0.5829145728643217
113,660,572,187,0.1333333333333333,0.6730769230769231,0.7166666666666667
114,199,177,104,0.11055276381909551,0.4124293785310734,0.4773869346733668
115,199,146,70,0.26633165829145733,0.5205479452054795,0.6482412060301508
116,660,462,176,0.30000000000000004,0.6190476190476191,0.7333333333333334
117,674,475,221,0.29525222551928787,0.5347368421052632,0.672106824925816
118,185,132,100,0.28648648648648645,0.24242424242424243,0.45945945945945943
119,674,461,213,0.31602373887240354,0.5379609544468547,0.6839762611275965
120,674,570,198,0.1543026706231454,0.6526315789473685,0.7062314540059347
121,185,158,86,0.1459459459459459,0.45569620253164556,0.5351351351351351
122,912,693,220,0.24013157894736847,0.6825396825396826,0.7587719298245614
123,898,667,253,0.2572383073496659,0.6206896551724138,0.7182628062360802
124,437,281,130,0.3569794050343249,0.5373665480427046,0.702517162471396
125,423,291,182,0.3120567375886525,0.3745704467353952,0.5697399527186762
126,437,279,102,0.3615560640732265,0.6344086021505376,0.7665903890160183
127,437,257,112,0.41189931350114417,0.5642023346303502,0.7437070938215102
128,423,262,163,0.3806146572104019,0.37786259541984735,0.6146572104018913
129,318,194,130,0.389937106918239,0.3298969072164949,0.5911949685534591
130,304,223,118,0.26644736842105265,0.47085201793721976,0.611842105263158
131,318,195,93,0.3867924528301887,0.523076923076923,0.7075471698113207
132,318,222,115,0.30188679245283023,0.48198198198198194,0.6383647798742138
133,304,200,116,0.3421052631578947,0.42000000000000004,0.618421052631579
134,793,644,216,0.18789407313997475,0.6645962732919255,0.7276166456494325
135,779,609,210,0.21822849807445444,0.6551724137931034,0.730423620025674
136,793,652,250,0.17780580075662045,0.6165644171779141,0.6847414880201765
137,793,618,214,0.22068095838587642,0.6537216828478964,0.7301387137452711
138,779,600,199,0.22978177150192558,0.6683333333333333,0.7445442875481386
139,556,295,119,0.46942446043165464,0.5966101694915253,0.7859712230215827
140,67,59,56,0.11940298507462688,0.05084745762711862,0.16417910447761197
141,556,340,144,0.38848920863309355,0.5764705882352941,0.7410071942446044
