[6, 14, 14, 8, 14, 8, 14, 11, 14, 12, 14, 14, 14, 14, 3, 10, 7, 14, 23, 17, 8, 8, 8, 8]
[21, 18, 18, 18, 3, 18, 18, 20, 18, 18, 18, 3, 3, 3, 8, 14, 4, 3, 18, 18, 9, 3, 3, 3]
[16, 18, 18, 18, 3, 18, 18, 21, 18, 23, 18, 3, 3, 3, 8, 20, 4, 3, 18, 18, 1, 18, 3, 18]
[16, 18, 18, 18, 3, 18, 18, 21, 18, 23, 18, 3, 3, 3, 8, 20, 9, 3, 18, 18, 1, 18, 3, 18]
[3, 3, 3, 13, 3, 13, 3, 11, 3, 3, 3, 3, 3, 3, 20, 10, 0, 3, 3, 3, 3, 3, 3, 3]
[3, 3, 3, 13, 3, 13, 3, 19, 3, 3, 3, 3, 3, 3, 20, 10, 0, 3, 3, 3, 3, 3, 3, 3]
[3, 3, 3, 13, 3, 13, 3, 6, 3, 3, 3, 3, 3, 3, 20, 10, 0, 3, 3, 3, 3, 3, 3, 3]
[3, 3, 3, 13, 3, 13, 3, 6, 3, 3, 3, 3, 3, 3, 12, 1, 0, 3, 3, 3, 3, 3, 3, 3]
[3, 3, 3, 13, 3, 13, 3, 6, 3, 3, 3, 3, 3, 3, 10, 5, 0, 3, 3, 3, 3, 3, 3, 3]
[3, 3, 3, 13, 3, 13, 3, 6, 3, 3, 3, 3, 3, 3, 12, 11, 0, 3, 3, 3, 3, 3, 3, 3]
[3, 3, 3, 13, 3, 13, 3, 6, 3, 3, 3, 3, 3, 3, 22, 10, 0, 3, 3, 3, 3, 3, 3, 3]
[3, 3, 3, 13, 3, 13, 3, 6, 3, 3, 3, 3, 3, 3, 11, 7, 0, 3, 3, 3, 3, 3, 3, 3]
[3, 3, 3, 13, 3, 13, 3, 21, 3, 3, 3, 3, 3, 3, 18, 22, 14, 3, 3, 3, 3, 3, 3, 3]
[3, 3, 3, 13, 3, 13, 3, 6, 3, 3, 3, 3, 3, 3, 17, 7, 0, 3, 3, 3, 3, 3, 3, 3]
[3, 3, 3, 13, 3, 13, 3, 21, 3, 3, 3, 3, 3, 3, 12, 10, 0, 3, 3, 3, 3, 3, 3, 3]
[3, 3, 3, 13, 3, 13, 3, 3, 3, 3, 3, 3, 3, 3, 21, 8, 14, 3, 3, 3, 3, 3, 3, 3]
[3, 3, 3, 13, 3, 13, 3, 3, 3, 3, 3, 3, 3, 3, 2, 22, 20, 3, 3, 3, 3, 3, 3, 3]
[3, 3, 3, 13, 3, 13, 3, 3, 3, 3, 3, 3, 3, 3, 20, 15, 0, 3, 3, 3, 3, 3, 3, 3]
[3, 3, 3, 13, 3, 13, 3, 3, 3, 3, 3, 3, 3, 3, 2, 7, 0, 3, 3, 3, 3, 3, 3, 3]
[16, 16, 16, 16, 3, 16, 18, 18, 18, 18, 3, 3, 3, 3, 19, 18, 18, 3, 16, 16, 3, 3, 3, 3]
[16, 16, 16, 16, 3, 16, 18, 18, 18, 18, 3, 3, 3, 3, 1, 18, 18, 3, 16, 16, 3, 3, 3, 3]
[16, 16, 16, 16, 3, 16, 18, 18, 18, 18, 3, 3, 3, 3, 8, 18, 18, 3, 16, 16, 3, 3, 3, 3]
[18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 23, 17, 18, 11, 18, 20, 11, 11, 11, 11]
[18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 23, 5, 18, 11, 18, 20, 11, 11, 11, 11]
[18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 7, 17, 18, 11, 18, 20, 11, 11, 11, 11]
[18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 7, 17, 18, 11, 18, 18, 11, 11, 11, 11]
[18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 23, 8, 18, 11, 18, 18, 11, 11, 11, 11]
[18, 18, 18, 18, 18, 18, 18, 4, 18, 12, 18, 18, 18, 18, 23, 5, 17, 11, 1, 20, 11, 11, 11, 11]
[18, 18, 18, 18, 18, 18, 18, 4, 18, 12, 18, 18, 18, 18, 7, 16, 23, 11, 6, 5, 11, 11, 11, 11]
[18, 18, 18, 18, 18, 18, 18, 4, 18, 12, 18, 18, 18, 18, 14, 9, 2, 11, 6, 22, 11, 11, 11, 11]
[18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 23, 16, 8, 11, 14, 18, 11, 11, 11, 11]
[18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 0, 16, 17, 11, 4, 18, 11, 11, 11, 11]
[18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 23, 16, 8, 11, 20, 18, 11, 11, 11, 11]
[18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 7, 16, 20, 11, 6, 18, 11, 11, 11, 11]
[18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 7, 17, 18, 11, 6, 20, 11, 11, 11, 11]
[18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 23, 16, 18, 11, 10, 20, 11, 11, 11, 11]
[18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 23, 8, 18, 15, 18, 18, 11, 11, 11, 11]
[18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 13, 2, 18, 10, 18, 18, 11, 11, 11, 11]
[18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 23, 8, 18, 9, 18, 18, 11, 11, 11, 11]
[18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 7, 22, 8, 11, 6, 15, 11, 11, 11, 11]
[18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 23, 16, 17, 11, 4, 20, 11, 11, 11, 11]
[18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 23, 16, 8, 11, 1, 19, 11, 11, 11, 11]
[18, 18, 18, 18, 18, 18, 18, 18, 18, 4, 18, 18, 18, 18, 7, 22, 8, 11, 6, 18, 11, 11, 11, 11]
[18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 23, 4, 8, 11, 18, 5, 11, 11, 11, 11]
